SKU,Actual Size On TEMU,Quantity,Tracking
50341 oyster M,卡其色 / M,1,9300111038400045869666
50372Denim8,Denim / S,1,9300111038400046023531
50372Navy10,Navy / M,1,9300111038400045888186
50372Navy10,Navy / M,1,9300111038400045888490
50372Navy12,Navy / L,1,9334611038400006608350
50372Navy14,Navy / XL,1,9300111038400045888575
50372Navy14,Navy / XL,1,9300111038400045888391
50372Navy14,Navy / XL,1,9300111038400045888124
50372PalaceBlue12,Palace Blue / L,1,9300111038400046042198
50372PalaceBlue16,Palace Blue / XXL,1,9300111038400046041887
50372White12,White / L,1,9334611038400006608350
50372White16,White / XXL,1,9300111038400046041764
53043 dark denim L,中蓝色 / L,1,9300111038400045888445
53043 dark denim L,中蓝色 / L,1,9300111038400045888612
53043 dark denim L,天蓝色 / L,1,9300111038400046042327
53043 dark denim M,中蓝色 / M,1,9300111038400045888421
53043 dark denim S,亮钢蓝 / S,1,9300111038400045863251
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888551
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888261
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888544
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888193
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888629
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888001
53043 dark denim XL,中蓝色 / XL,1,9300111038400045888339
53043 dark denim XL,天蓝色 / XL,1,9300111038400046042082
53043 dark denim XL,天蓝色 / XL,1,9300111038400046042112
53043 dark denim XL,天蓝色 / XL,1,9300111038400046042280
53043 mid denim L,中蓝色 / L,1,9300111038400046042501
53043 mid denim S,中蓝色 / S,1,9300111038400045863251
53043 mid denim S,军服蓝 / S,1,9300111038400046035558
53043 mid denim XL,中蓝色 / XL,1,9300111038400046042082
53043 mid denim XL,中蓝色 / XL,1,9300111038400046042112
53043 mid denim XL,中蓝色 / XL,1,9300111038400046042280
53044 dark denim L,藏青色 / L,1,9300111038400046041931
53044 dark denim S,藏青色 / S,1,9300111038400046035725
53046 dark denim  XL,深蓝色 / XL,1,9300111038400045978412
53058 light denim L,浅蓝色 / L,1,9300111038400046041788
53058 light denim XL,浅蓝色 / XL,1,9300111038400046041726
53058 mid denim L,中蓝色 / L,1,9300111038400046042082
53058 mid denim XL,中蓝色 / XL,1,9300111038400046041726
